RIDGE,NUB,CRACK,WEIGHT,DENSITY,binaryClass
-1.03,14.22,-5.34,3.83,1.47,P
13.49,10.28,9.92,-26.12,0.09,P
7.06,0.22,-6.08,-3.12,-5.2,P
-1.28,8.78,4.08,4.7,0.82,P
5.96,0.24,-12.5,-7.49,-3.16,P
16.95,2.34,-13.85,-22.3,-5.78,P
-0.44,-1.33,-18.9,0.22,1.35,P
-4.84,5.68,5.2,0.16,6.88,P
-3.05,-7.2,4.99,3.69,-1.05,P
-3.85,-2.0,-0.14,7.96,0.02,P
6.08,6.31,3.37,-5.48,0.73,P
2.2,-0.99,-10.42,-1.98,1.62,P
-0.56,7.47,-10.13,-7.14,4.55,P
-5.24,-3.44,-5.8,-1.59,5.84,P
-15.1,5.79,-11.16,13.06,10.49,P
13.44,-6.04,16.1,-16.6,-5.7,P
7.78,-5.72,-6.65,-15.29,0.85,P
-11.83,-16.39,-2.29,23.4,-1.03,P
-11.76,-0.19,-12.93,19.3,1.53,P
-1.58,4.75,-6.74,1.63,2.86,P
7.69,-2.13,1.68,-9.16,-3.02,P
5.26,7.41,-1.18,-11.14,1.24,P
-10.16,7.7,11.54,17.98,2.98,P
-2.56,-6.23,9.37,6.31,-3.41,P
0.25,1.42,9.69,5.18,0.4,P
-18.45,-2.37,-9.16,20.72,8.72,P
-14.04,1.66,1.34,7.86,7.45,P
0.11,-3.29,6.74,8.43,-2.06,P
-4.67,-1.58,7.82,11.43,-1.62,P
11.14,3.12,0.94,-12.13,-2.78,P
5.85,-4.37,-2.84,-6.87,1.16,P
-16.05,-5.21,3.75,18.32,2.23,P
-4.75,-3.74,1.91,10.6,-1.8,P
13.42,5.43,-12.41,-19.16,-3.65,P
-10.62,3.2,6.63,9.62,4.46,P
-3.68,-4.11,10.86,4.68,-2.35,P
-6.07,-2.14,0.66,0.99,3.42,P
-8.22,-6.92,0.5,12.55,1.25,P
-3.29,-4.32,-0.75,6.45,2.0,P
12.39,3.84,0.9,-15.51,-5.16,P
14.16,4.38,-7.97,-18.0,-3.9,P
-5.4,-2.42,-7.36,8.83,0.01,P
8.52,-3.03,-4.63,-6.06,-4.38,P
6.66,-4.89,-0.42,-6.3,-2.92,P
-4.28,7.83,5.05,8.04,1.15,P
7.36,-0.4,-1.54,-9.61,-2.68,P
-4.16,9.31,6.44,6.64,1.84,P
15.03,-5.79,-13.96,-21.27,-6.39,P
4.13,1.94,8.01,-3.84,-1.75,P
10.16,6.15,-13.25,-12.78,-1.42,P
-7.97,1.73,8.71,3.45,3.08,P
0.48,-2.04,-8.62,-3.89,1.56,P
-0.76,-0.13,-6.83,4.59,-0.08,P
-1.79,-0.55,0.21,-0.5,1.44,P
-3.37,0.39,-3.88,1.73,1.82,P
-0.7,-0.27,-9.4,-8.6,5.78,P
-7.64,-0.43,12.39,9.45,-0.12,P
6.3,0.13,-4.13,-5.64,-2.41,P
6.71,-0.89,0.66,-0.8,-6.76,P
0.64,-3.17,-8.27,3.68,-4.02,P
-7.06,-1.3,13.24,3.0,6.47,P
4.89,3.01,-7.06,-11.84,1.83,P
0.68,2.75,3.7,-3.06,0.63,P
3.71,4.22,2.03,-8.78,0.58,P
-3.22,-5.83,14.78,7.78,-1.62,P
5.73,-3.03,6.7,-9.62,-1.4,P
-3.47,6.75,2.7,6.38,2.46,P
-7.09,5.37,9.51,14.76,1.34,P
5.91,1.1,-13.5,-16.42,5.14,P
-1.32,-0.17,-4.01,1.53,0.56,P
1.14,8.47,6.04,-1.37,0.5,P
2.28,-1.17,-12.14,-3.34,0.38,P
-0.27,-2.96,-1.5,3.74,-1.99,P
-11.46,1.03,10.68,17.54,1.8,P
5.61,4.14,3.86,-13.09,1.04,P
7.12,-1.23,-14.75,-11.95,-2.6,P
-7.68,2.4,2.97,14.49,-0.73,P
0.5,-3.14,-5.15,0.16,-0.04,P
5.63,2.58,4.9,-15.21,2.72,P
-11.89,2.15,0.2,22.09,-0.53,P
-12.95,-5.2,1.95,21.0,3.16,P
14.97,-2.36,10.11,-14.17,-7.52,P
-6.83,0.13,1.47,12.33,-0.29,P
-1.87,3.51,-12.8,-3.93,2.48,P
-5.05,-12.18,-17.84,-0.74,0.0,P
-2.71,6.68,-9.1,4.48,3.19,P
-4.75,-4.85,0.73,12.31,-0.9,P
-8.61,-9.34,-3.95,9.33,1.64,P
0.97,0.32,2.97,-9.7,2.32,P
2.63,1.77,6.2,-0.3,-3.97,P
-17.86,-1.85,-8.23,21.6,8.31,P
-1.72,-1.09,-5.73,2.2,2.43,P
-7.13,3.58,-19.93,2.58,5.44,P
4.18,-1.11,15.36,-2.95,-3.74,P
6.32,-1.36,-16.02,-9.9,0.31,P
-2.67,-1.95,2.4,10.98,-2.42,P
0.78,-6.46,-5.21,-4.84,-1.47,P
-0.61,3.98,3.06,-1.72,1.7,P
1.27,5.01,2.22,-1.92,-1.43,P
13.46,-12.36,3.0,-16.31,-8.6,P
-4.32,-5.23,-10.6,1.94,1.57,P
4.7,-2.45,-1.18,-7.69,-1.57,P
-12.14,8.11,15.94,13.46,8.01,P
3.43,-4.5,-4.8,-0.74,-3.02,P
-2.76,-0.54,-3.68,2.49,3.34,P
-10.3,10.17,-1.8,16.67,4.47,P
7.83,1.82,-11.07,-14.86,-0.11,P
-8.95,-1.61,-17.47,10.21,4.97,P
-0.31,1.61,-13.65,-9.63,5.56,P
3.08,-9.56,-2.66,-1.14,-2.13,P
2.6,2.06,7.34,2.97,-3.45,P
-11.56,-7.82,-1.3,17.37,3.24,P
-11.05,-0.94,4.1,12.38,5.87,P
-1.75,-1.36,16.67,4.48,-0.6,P
-4.46,-6.08,8.41,7.31,-0.95,P
5.03,-0.34,14.97,-0.68,-7.67,P
2.34,7.3,-6.43,-1.14,0.05,P
5.27,-2.71,11.72,-2.56,-5.0,P
-5.55,-7.14,-4.17,2.27,1.87,P
9.36,-3.94,-11.96,-17.75,-1.84,P
-5.06,-5.58,7.47,2.72,2.48,P
-10.32,-6.09,5.54,12.35,2.07,P
-8.17,9.1,-12.5,2.95,8.05,P
-9.42,-2.03,3.83,23.98,-2.21,P
-5.8,3.73,5.62,5.53,-1.04,P
1.99,7.73,-6.23,-6.85,1.21,P
2.62,2.13,12.76,1.64,-1.98,P
-9.7,8.04,-2.25,12.89,2.55,P
-1.14,-0.26,11.29,7.04,-2.25,P
5.59,4.68,5.63,-5.81,1.08,P
-8.01,-2.98,9.27,17.33,-0.24,P
1.52,5.36,1.87,-9.75,6.27,P
7.22,-4.97,4.76,-8.24,-3.71,P
-2.19,-6.5,-11.5,-0.55,3.68,P
8.49,4.81,-3.46,-11.65,-1.89,P
-2.95,4.46,-7.52,5.38,0.54,P
-5.81,-4.78,-4.45,4.24,2.86,P
9.48,2.6,-17.38,-17.38,-0.34,P
6.03,-3.39,-6.25,-13.14,0.37,P
-5.45,-1.73,19.8,12.06,1.38,P
-5.11,2.24,-11.92,0.21,3.07,P
-1.7,0.56,10.97,8.95,-3.6,P
-0.76,1.27,-2.22,1.64,0.28,P
8.11,-1.42,1.31,-7.42,-8.01,P
-4.24,3.34,5.68,10.86,0.85,P
-6.42,-15.87,-3.83,6.97,1.3,P
-5.96,-4.33,-5.0,6.31,0.41,P
-0.19,7.56,2.76,-0.55,2.42,P
3.28,-4.5,6.22,2.49,-4.94,P
-5.32,-4.64,1.08,8.66,1.03,P
-13.87,-10.67,-8.86,21.58,0.26,P
11.11,3.08,17.01,-11.72,-6.18,P
4.1,2.61,-4.29,-16.04,2.85,P
0.63,4.34,10.94,-2.91,0.73,P
7.69,1.46,-1.58,-7.39,-4.57,P
-2.18,5.22,6.59,4.32,2.73,P
-3.91,-8.2,-0.09,7.51,-1.36,P
-1.06,-1.09,-8.94,-8.06,5.05,P
-0.73,-0.23,3.22,7.26,-2.58,P
7.66,-1.59,-12.22,-7.0,-1.12,P
-2.44,-7.74,2.95,2.69,1.53,P
-2.15,-7.2,-20.07,2.49,0.17,P
11.22,4.65,0.99,-8.44,-4.52,P
0.11,4.18,-8.17,-1.8,1.28,P
-15.83,-1.96,1.93,16.5,5.24,P
5.05,-7.32,8.59,-4.74,-3.33,P
-12.04,-2.84,1.13,19.51,0.81,P
-3.7,-0.85,-5.75,4.06,2.37,P
0.63,5.16,1.9,-2.13,-0.28,P
5.66,-4.36,-2.91,-8.05,-3.69,P
2.36,5.17,9.73,2.04,0.88,P
3.16,2.99,11.01,-4.2,-0.69,P
-6.59,-6.53,-3.72,9.98,0.95,P
-5.86,5.52,6.39,11.23,1.58,P
4.26,-3.36,19.73,-2.57,-5.44,P
1.09,7.86,-3.81,-3.43,1.34,P
-1.57,-3.99,-1.35,-1.24,0.15,P
-3.59,8.36,-21.54,-4.67,6.72,P
-1.25,-6.1,2.72,5.74,-3.8,P
10.65,3.06,-1.17,-15.37,-1.1,P
8.92,-6.59,-2.37,-15.62,-2.27,P
1.61,-0.48,-3.29,1.35,-0.62,P
-0.92,-5.62,-11.46,-3.52,3.08,P
-5.32,-6.69,-5.61,11.86,-2.28,P
-2.63,-10.98,-11.6,3.36,-0.46,P
-0.61,-0.07,-0.09,0.41,0.83,P
-4.03,-12.29,-10.4,9.47,-2.69,P
-6.58,6.18,3.86,13.18,2.32,P
2.74,-3.66,4.05,-5.03,1.26,P
6.25,3.64,4.93,-8.46,0.06,P
5.37,3.7,-7.6,-8.97,-1.42,P
-11.52,1.13,-9.99,18.66,0.24,P
-6.62,4.37,10.98,7.6,3.22,P
-11.32,-12.42,-4.44,16.76,-0.74,P
9.39,-5.9,1.35,-7.41,-7.28,P
12.49,5.45,-14.44,-19.98,-1.24,P
-3.5,-6.23,5.36,8.26,-3.69,P
0.21,-4.67,-8.44,1.71,-4.6,P
0.42,3.4,-16.04,-8.78,3.66,P
-0.31,0.14,-0.21,0.68,0.46,P
0.21,-0.55,4.35,-3.84,2.08,P
5.48,-8.24,8.6,-11.03,-1.07,P
-2.6,3.56,10.62,12.43,0.63,P
2.38,4.46,16.81,3.77,-2.94,P
5.26,-2.15,2.15,-8.62,-2.96,P
-1.77,-3.92,16.41,5.9,-1.7,P
0.65,1.19,-9.35,2.0,-1.02,P
6.91,-0.33,0.99,-10.31,-1.2,P
8.17,-4.57,-7.9,-15.06,-3.95,P
1.0,2.02,-8.35,-8.9,1.21,P
11.21,-1.52,-6.7,-14.39,-3.5,P
2.71,-6.79,-3.99,-8.53,0.01,P
3.26,-2.82,-4.4,-1.96,-2.67,P
-13.2,3.35,5.24,19.35,2.14,P
1.42,4.93,-4.29,-9.89,2.02,P
5.7,-2.22,5.38,-2.29,-5.52,P
6.99,-0.26,-3.85,-13.66,0.14,P
9.52,-2.56,-0.64,-15.32,-4.16,P
3.01,-4.76,-5.39,-6.33,-0.25,P
4.56,-5.17,4.98,-5.81,-1.06,P
-12.9,4.45,-9.3,12.58,10.14,P
-2.37,3.08,12.48,2.02,3.44,P
2.89,-4.85,1.02,-7.02,-0.2,P
-0.15,-4.28,-3.38,2.52,-0.66,P
5.63,0.61,5.54,-4.92,-3.37,P
10.34,-0.08,-0.76,-12.63,-3.38,P
-0.01,-2.63,7.16,4.15,-3.1,P
2.52,-4.46,-1.68,-0.26,-5.88,P
-0.5,1.51,3.1,-1.86,2.77,P
-10.49,-8.67,-2.83,16.02,5.17,P
-5.32,-4.21,-6.9,5.08,0.26,P
-16.82,1.52,6.88,20.34,6.48,P
11.29,0.5,3.24,-20.56,-2.88,P
2.84,10.39,6.52,-4.84,0.78,P
11.42,3.12,-1.17,-11.66,-6.29,P
-0.51,0.37,-0.29,0.66,-0.19,P
-4.75,-0.24,-0.42,12.68,3.11,P
12.6,3.19,-9.97,-19.65,-4.23,P
-0.46,0.22,-0.23,0.62,0.19,P
-6.44,-0.3,-5.33,-0.06,5.49,P
1.04,-2.04,-6.31,-5.92,-3.46,P
4.57,-0.13,8.38,3.76,-4.42,P
2.24,-0.27,8.98,4.4,-4.31,P
-2.72,4.33,-14.24,-1.01,4.42,P
-12.29,-6.56,-1.79,18.09,3.94,P
-5.63,-2.48,-4.16,1.54,3.22,P
2.88,7.78,-0.57,-6.13,1.4,P
-6.64,-0.9,4.07,13.43,-1.04,P
-3.48,6.8,-1.32,-4.25,5.76,P
-5.06,-11.85,4.24,8.35,-2.53,P
-3.67,-3.45,-9.43,-0.44,-0.23,P
-6.44,-7.55,-1.16,9.07,1.59,P
6.92,-0.4,-0.32,-0.8,-7.12,P
-0.02,7.96,-11.15,-7.62,6.12,P
-0.82,-4.98,-11.24,2.81,-1.38,P
-1.28,3.51,-6.24,-1.17,3.15,P
5.91,-3.0,0.07,-8.86,-2.39,P
2.07,-6.5,1.48,-3.0,-3.94,P
1.3,-1.36,-16.42,-2.6,-1.72,P
-1.58,7.99,9.8,1.92,1.43,P
-4.62,8.66,0.98,4.42,4.1,P
10.17,6.54,8.15,-14.05,0.2,P
-3.58,-8.49,-4.03,7.6,-2.31,P
-5.16,-4.43,-3.96,11.35,-1.71,P
1.26,-10.83,-7.32,-2.32,-4.01,P
-0.3,-0.55,-9.45,3.46,-1.06,P
1.6,-4.38,-5.29,2.29,-3.13,P
-11.91,-1.94,11.64,25.1,-0.24,P
0.47,0.71,-0.52,1.39,-0.55,P
1.03,-0.69,4.68,5.64,-6.01,P
-10.61,3.97,-6.14,16.65,4.7,P
-1.47,4.46,15.21,3.43,-0.58,P
0.16,-4.27,1.05,-3.62,-1.47,P
9.81,-1.62,1.1,-13.75,-0.04,P
-3.15,9.92,-8.82,3.43,3.07,P
-4.6,-1.52,5.96,13.68,1.34,P
-4.88,-1.15,-6.38,4.97,1.36,P
-14.32,-4.03,3.66,18.37,5.24,P
0.33,-2.5,-1.84,-0.61,0.17,P
6.71,9.21,4.06,-8.29,-1.32,P
7.68,1.38,8.62,-7.76,-5.68,P
-1.32,0.53,-3.56,3.0,-1.42,P
-4.58,4.57,17.37,14.2,0.09,P
7.56,4.16,-5.68,-13.78,-1.89,P
-6.77,-5.93,-14.65,6.42,-0.61,P
-1.71,1.8,-10.71,-2.67,4.85,P
1.72,-3.41,-1.37,-5.05,-1.02,P
2.4,-8.4,-12.12,2.55,-4.2,P
-8.86,-8.57,3.36,4.77,4.08,P
7.91,-5.28,0.27,-7.52,-5.71,P
-0.32,-7.26,-7.94,0.91,-2.84,P
1.71,7.42,2.71,0.32,-0.82,P
12.03,8.19,-12.57,-25.29,-0.09,P
0.63,-1.42,-1.6,6.99,-1.74,P
6.38,-1.1,1.94,-0.48,-3.26,P
-2.02,-4.31,-0.26,-0.42,3.64,P
-15.05,-5.37,-8.48,16.98,3.91,P
-2.55,-5.49,1.01,9.81,-2.85,P
5.82,0.66,9.56,-8.56,-2.86,P
-0.1,-3.7,-9.72,-2.21,0.75,P
-12.98,-8.59,-8.37,13.91,3.48,P
-1.57,3.53,1.2,0.08,2.95,P
11.85,5.63,-1.41,-12.93,-2.05,P
-5.42,-9.82,6.99,13.6,-2.08,P
-5.91,-4.88,-13.94,8.14,0.02,P
-1.51,-1.06,-7.61,-3.21,1.89,P
2.96,11.68,5.63,-7.19,3.25,P
4.87,4.64,-6.85,-9.41,1.18,P
0.93,7.58,0.11,-11.88,4.04,P
5.89,-1.09,-1.3,-4.95,-5.61,P
10.28,-7.07,10.32,-13.74,-3.09,P
-9.98,-4.11,22.26,18.75,-2.33,P
-14.01,8.04,12.56,24.5,3.27,P
-9.3,3.14,5.51,17.83,2.37,P
1.97,-0.55,5.34,5.54,-2.61,P
3.82,7.96,-5.62,-9.3,0.2,P
-2.04,11.43,-4.31,-2.12,4.59,P
11.7,6.09,0.89,-9.58,-5.91,P
5.37,1.52,3.72,-5.52,-1.97,P
4.5,-1.71,-11.46,-14.17,0.32,P
0.72,-4.96,6.83,5.68,-3.01,P
-5.88,-3.01,-5.81,3.37,0.55,P
-1.03,-0.26,0.02,0.07,1.08,P
-14.2,1.54,3.31,21.08,5.67,P
8.07,-0.58,5.32,-10.73,-3.54,P
-3.65,4.18,3.84,6.28,1.13,P
2.87,1.42,-16.38,-5.9,2.35,P
-1.27,6.09,-3.7,7.96,-1.45,P
-1.38,2.65,12.19,4.02,-2.84,P
-9.29,-9.45,2.45,12.74,1.38,P
-3.57,-5.78,0.24,9.61,-1.18,P
7.58,3.63,-3.78,-11.69,-2.4,P
5.15,3.3,-8.96,-8.76,-0.47,P
4.27,8.43,-1.43,-6.29,3.17,P
2.25,6.78,-10.45,-5.54,3.15,P
5.23,3.2,6.65,-0.08,-4.77,P
3.74,7.77,3.01,-6.87,-0.31,P
-2.92,2.44,-1.88,7.85,-0.03,P
-2.88,-2.73,0.95,9.43,-2.88,P
-4.96,-6.42,-2.7,16.55,-5.21,P
0.32,-16.31,-7.32,3.69,-5.34,P
6.78,7.13,1.95,-4.58,0.15,P
4.82,-1.31,5.66,-1.25,-5.44,P
3.81,3.64,3.02,-1.38,-1.54,P
4.66,-4.64,14.01,-3.2,-3.02,P
7.15,-0.51,-6.76,-9.07,-2.77,P
3.42,-2.97,-4.68,-4.27,-2.29,P
-0.94,-1.7,-8.62,3.92,-3.08,P
5.03,-1.96,-1.73,-3.68,-3.91,P
-2.06,-6.13,-12.86,3.2,-1.15,P
0.11,-2.51,-9.57,0.65,-2.93,P
-0.7,9.25,1.87,5.01,4.86,P
7.05,3.97,2.04,-5.23,-0.85,P
6.96,0.32,0.28,-3.93,-5.69,P
4.1,2.44,0.26,-5.97,-2.1,P
3.79,-2.82,-2.64,-3.11,-4.63,P
10.15,-0.77,-6.88,-18.88,-1.69,P
4.95,-0.09,5.3,-6.58,-2.4,P
-1.76,-0.65,0.25,-0.53,1.7,P
-6.76,1.02,6.72,12.57,0.2,P
-0.57,0.7,4.1,12.66,-3.24,P
-4.98,-3.7,-0.46,1.9,3.49,P
8.27,0.23,8.74,-9.32,-2.23,P
-2.9,-9.49,4.15,6.96,-1.91,P
3.26,-6.02,1.58,-7.6,-1.23,P
4.48,4.41,-3.86,-9.24,-0.74,P
4.9,-0.85,-0.9,-3.59,-3.27,P
-3.38,-8.16,-0.17,-0.22,1.55,P
-10.08,0.2,12.56,14.54,3.36,P
3.79,-0.4,5.12,-12.07,1.82,P
1.76,7.59,-7.48,-6.46,5.14,P
10.8,3.71,9.39,-9.66,-3.32,P
6.9,2.0,-2.74,-9.71,-2.97,P
-4.92,-1.35,8.51,7.14,0.64,P
7.69,-0.7,-0.43,-6.86,-2.19,P
1.6,5.39,12.9,4.74,-1.34,P
5.63,-1.6,6.33,-2.96,-2.66,P
1.5,-1.71,11.19,1.64,-1.84,P
6.41,-8.91,-6.67,-9.29,-4.18,P
-6.56,8.16,-8.35,3.27,5.92,P
0.45,-0.77,-10.68,0.24,-2.29,P
3.91,2.06,1.0,-0.53,-3.22,P
4.31,2.94,4.36,-7.56,-0.46,P
-5.46,3.08,3.25,9.3,1.51,P
-1.85,6.48,6.3,5.03,0.81,P
-0.1,0.96,11.05,-1.32,-1.5,P
-1.95,1.91,-10.28,0.22,1.26,P
5.13,6.55,-4.49,-12.86,1.96,P
7.52,-1.05,-19.82,-13.79,0.96,P
-21.75,-1.75,5.41,27.6,8.22,P
-0.93,6.68,-3.61,1.83,2.08,P
14.55,7.52,-9.68,-23.61,-0.75,P
3.61,-5.33,1.79,-1.28,-4.28,P
-4.19,-3.66,2.53,7.53,1.2,P
1.76,9.25,-3.09,-3.36,0.55,P
-7.04,6.66,11.41,6.19,4.41,P
-0.24,7.25,-2.92,-4.46,4.26,P
6.62,-1.51,-7.01,-7.04,-2.28,P
-6.8,-0.85,7.16,12.6,0.76,P
-6.76,-7.33,2.58,7.52,-0.67,P
-7.66,-7.58,-2.43,15.79,-1.73,P
-0.01,-6.17,-2.26,-0.54,0.74,P
-2.63,-1.15,-13.03,1.28,2.73,P
8.95,0.55,-14.08,-13.6,-1.08,P
-0.59,-0.61,-2.9,8.61,-3.14,P
6.82,6.35,-1.89,-8.83,0.13,P
5.33,4.66,7.18,-10.95,0.92,P
6.15,1.72,2.01,-8.22,-2.03,P
-4.14,-0.88,0.83,1.1,3.1,P
-5.31,1.82,12.17,14.55,0.34,P
5.94,3.24,2.88,-8.13,-1.17,P
10.85,3.15,10.04,-10.76,-4.86,P
1.51,-0.56,-3.04,-0.33,-2.59,P
4.11,7.17,-5.65,-17.74,3.57,P
-8.77,4.58,11.6,11.12,3.9,P
-5.83,1.83,8.68,9.51,0.34,P
6.02,5.94,-0.71,-3.33,-4.93,P
-13.17,0.94,-1.95,17.3,6.28,P
-0.34,-7.87,2.71,10.16,-5.28,P
-2.51,-5.21,-1.66,8.83,-1.77,P
6.22,3.27,6.03,-7.19,-2.74,P
3.22,-1.78,-1.08,-2.24,0.56,P
-3.69,-7.79,-8.03,4.52,0.61,P
4.55,5.9,4.24,-5.67,0.55,P
10.67,4.07,4.33,-14.32,0.1,P
5.35,-2.74,-3.15,-16.71,1.46,P
-4.04,-3.03,-0.73,-0.84,2.17,P
14.26,7.74,-1.23,-23.03,-3.73,P
4.76,7.05,0.34,-5.08,0.25,P
0.05,-6.29,-14.55,0.61,0.68,P
-0.03,2.18,4.58,-2.74,2.13,P
0.48,-6.16,5.95,2.13,-5.51,P
1.54,1.35,13.96,3.5,-4.62,P
-3.29,2.96,9.36,16.4,-4.12,P
9.36,4.92,-2.14,-17.42,0.53,P
-11.83,1.67,11.74,13.77,6.98,P
-0.1,15.04,6.28,0.86,1.17,P
-1.41,-5.65,-2.07,8.39,-2.69,P
7.73,3.73,0.53,-11.22,-2.04,P
-2.36,1.57,8.09,6.28,-2.83,P
7.0,-1.58,-12.3,-11.55,-1.66,P
-6.88,6.77,8.02,13.8,2.03,P
0.45,-0.65,-2.45,3.18,-2.3,P
-1.42,-5.38,-1.72,-0.67,-0.83,P
-1.31,0.97,10.12,10.71,-2.52,P
5.12,0.74,8.38,-8.82,-1.72,P
0.18,-0.48,-10.04,-4.91,1.67,P
-0.5,-5.56,3.75,-5.36,0.16,P
-0.41,-4.52,-1.01,5.08,0.05,P
8.29,-0.28,2.62,-8.81,-3.2,P
7.63,-1.9,-17.72,-17.58,-0.26,P
-8.66,6.9,-12.77,8.48,7.94,P
0.28,-2.77,-7.23,-4.97,1.4,P
-2.2,-1.47,-4.66,0.23,1.1,P
-5.2,-3.04,12.48,12.43,1.36,P
6.72,6.43,-2.99,-13.46,-2.34,P
-9.16,-4.73,2.27,14.86,0.85,P
-9.59,5.33,0.91,18.35,4.86,P
-2.14,-4.42,-2.98,1.5,-0.05,P
6.4,-2.16,-2.72,-14.93,1.38,P
2.79,6.93,10.96,-0.25,-0.79,P
3.64,-4.32,6.84,3.12,-7.4,P
-8.36,7.71,-4.7,8.37,7.87,P
0.51,-5.66,-10.38,-3.77,-2.96,P
0.21,6.77,-12.22,-5.68,5.04,P
-4.38,-3.8,14.0,6.27,0.29,P
6.21,3.41,0.06,-17.62,2.76,P
3.17,0.5,1.25,-10.94,0.15,P
9.06,-6.38,-1.34,-14.58,-2.31,P
1.61,7.42,-2.26,-2.71,1.4,P
-1.59,-0.59,0.22,-0.41,1.64,P
7.99,6.86,-10.48,-12.33,0.14,P
8.9,-0.96,-0.28,-15.18,-1.36,P
2.16,-2.91,0.02,-5.06,-1.72,P
-12.12,-2.94,0.7,19.81,1.56,P
-3.13,-0.62,-8.2,-5.59,4.66,P
-9.13,3.84,-5.17,2.98,8.11,P
-3.83,3.21,10.49,11.91,-2.35,P
-7.37,4.71,1.31,20.56,-1.72,P
8.73,0.94,9.5,-16.05,-1.0,P
-7.34,-6.14,-8.2,7.42,2.06,P
-6.79,-4.63,-6.46,7.51,1.85,P
13.26,-2.21,-3.28,-20.35,-2.58,P
-11.88,3.47,12.02,17.65,3.68,P
5.62,5.94,0.45,-10.67,-0.33,P
1.47,1.46,-7.09,-10.44,0.46,P
9.64,11.59,-0.27,-9.84,-3.29,P
2.75,4.8,0.35,-2.0,2.28,P
5.5,2.12,-12.15,-5.26,-1.12,P
5.47,-2.46,-5.7,-11.73,1.77,P
-3.97,-1.61,-7.51,7.15,1.37,P
5.94,8.0,-8.95,-5.56,0.1,P
-12.94,2.62,9.79,25.01,4.35,P
9.73,2.8,-12.73,-8.4,-4.98,P
-8.01,-5.29,5.73,17.7,0.06,P
-2.92,-5.21,-0.86,7.49,0.73,P
4.33,1.51,-0.23,-7.15,0.05,P
-0.63,-4.43,-7.76,-3.49,0.64,P
-3.25,-2.81,10.88,3.66,-0.05,P
-2.11,-6.48,0.9,6.08,-1.53,P
-4.51,-3.8,13.52,17.43,-3.63,P
-0.52,0.45,-0.07,6.51,-5.35,P
8.8,-6.64,-11.52,-15.92,-0.74,P
-7.77,5.06,3.2,10.88,4.39,P
-2.41,-5.61,2.57,6.28,-0.3,P
-1.12,-3.66,-6.39,-4.51,1.41,P
8.74,4.6,-7.52,-10.02,-4.31,P
-1.49,7.56,3.65,1.89,-0.9,P
1.76,-5.16,6.51,2.58,-6.64,P
-2.09,-0.28,17.91,6.52,-0.7,P
-4.87,-1.76,2.82,9.9,1.05,P
9.69,5.31,-0.52,-16.2,-2.47,P
0.01,0.44,-0.36,1.0,-0.11,P
6.06,-2.1,10.42,-3.43,-4.01,P
-2.34,-2.05,8.64,-0.95,1.28,P
-2.78,-4.93,0.26,9.48,-2.87,P
14.74,-0.07,-3.22,-20.05,-4.07,P
4.75,7.2,1.89,-5.3,1.25,P
0.66,-8.42,21.46,4.52,-6.06,P
11.28,-0.09,-11.46,-15.76,-2.83,P
5.86,5.72,-7.39,-8.62,-0.48,P
5.52,-0.39,-1.63,-6.8,-3.8,P
-0.16,-14.6,-3.23,0.89,-1.73,P
-9.06,-7.88,-9.53,11.24,2.56,P
-5.43,4.24,4.15,8.36,2.77,P
-1.01,6.54,3.37,4.68,1.08,P
-3.35,-2.86,-16.92,-1.86,2.61,P
-2.42,-9.32,-10.1,1.12,1.0,P
-1.85,-2.63,6.54,6.68,-2.01,P
-1.66,-13.86,-11.68,-3.58,-0.32,P
-10.39,4.59,0.72,11.21,5.07,P
-6.19,-3.81,5.46,13.12,-0.64,P
5.16,-0.57,-14.67,-9.6,2.46,P
-4.22,-4.87,7.0,9.31,1.3,P
4.34,0.35,-5.83,-12.68,1.49,P
6.08,-1.97,-11.41,-9.95,-0.18,P
6.01,-3.27,2.88,-0.48,-5.15,P
-5.05,-3.94,5.32,9.22,-0.24,P
-4.89,-11.24,-5.46,2.37,1.56,P
-1.5,-7.34,-10.45,-0.05,-0.68,P
3.5,-7.82,-5.33,-5.32,-1.75,P
-13.74,3.74,-0.15,15.01,5.19,P
1.89,-6.8,12.16,-0.41,0.61,P
8.04,1.62,10.33,-5.14,-6.08,P
5.31,2.37,1.47,-11.58,-0.86,P
0.13,2.15,-9.45,2.24,0.08,P
8.2,2.77,-7.59,-20.19,1.75,P
6.96,3.73,15.03,-7.8,-4.65,P
3.34,-3.43,-1.41,-10.93,2.09,P
-6.15,-2.5,8.63,7.27,-0.59,P
-2.89,-3.46,-8.32,-1.91,2.06,P
1.52,-4.56,-1.97,-6.69,-3.55,P
-1.52,6.26,4.48,3.03,1.48,P
-1.02,-12.4,-7.11,8.13,-2.85,P
-6.09,2.61,1.57,11.99,-1.12,P
-2.04,7.21,3.22,6.86,1.67,P
-11.36,5.12,7.58,15.04,2.99,P
-7.82,-2.08,7.54,8.05,-0.08,P
4.52,-6.72,-11.84,-7.46,-1.75,P
1.96,-1.81,5.72,-5.04,0.26,P
-14.93,-7.44,12.14,25.54,-1.22,P
-8.21,1.59,2.23,12.36,1.43,P
3.62,10.01,-12.42,-7.78,0.33,P
-5.56,3.05,11.98,3.15,5.4,P
-3.13,2.54,8.54,0.81,3.91,P
3.36,-11.7,5.13,-0.68,-4.07,P
-3.26,-2.3,2.54,2.46,3.16,P
-4.47,-7.1,-18.0,0.78,0.99,P
