Sex,Length,Height,Whole.weight,binaryClass
F,0.54,0.14,0.805,N
F,0.545,0.135,0.9185,N
F,0.55,0.125,0.923,P
M,0.55,0.15,1.0145,N
F,0.55,0.15,0.875,N
M,0.555,0.145,0.9685,P
M,0.565,0.155,1.0595,N
M,0.57,0.15,0.952,P
M,0.57,0.13,0.7535,N
F,0.575,0.14,0.958,P
M,0.59,0.165,1.077,P
M,0.59,0.13,1.102,N
F,0.595,0.15,1.11,N
F,0.595,0.16,1.2095,P
F,0.595,0.16,1.1405,P
F,0.595,0.14,1.113,N
M,0.6,0.175,1.3445,N
F,0.6,0.155,1.21,N
M,0.6,0.175,1.29,N
F,0.605,0.175,1.382,N
M,0.605,0.16,1.1035,P
F,0.615,0.175,1.377,N
F,0.615,0.15,1.3435,N
M,0.615,0.15,1.296,P
M,0.615,0.165,1.34,N
F,0.62,0.16,1.3725,N
M,0.62,0.165,1.307,P
F,0.625,0.155,1.2085,N
F,0.625,0.2,1.3825,N
M,0.63,0.165,1.26,N
M,0.635,0.17,1.3555,P
F,0.635,0.15,1.376,N
F,0.635,0.165,1.2945,P
F,0.64,0.165,1.486,P
M,0.65,0.175,1.4715,N
M,0.655,0.165,1.4095,P
M,0.655,0.205,2.0805,N
M,0.66,0.17,1.3905,N
M,0.66,0.19,1.558,N
F,0.67,0.16,1.309,N
F,0.675,0.17,1.8095,N
F,0.675,0.155,1.4785,P
F,0.68,0.195,1.7775,N
F,0.685,0.16,1.6675,N
F,0.695,0.22,1.834,N
M,0.73,0.23,2.8255,N
I,0.205,0.05,0.046,P
I,0.24,0.055,0.0705,P
I,0.24,0.065,0.0665,P
I,0.255,0.05,0.083,P
I,0.255,0.055,0.083,P
I,0.265,0.06,0.092,P
I,0.28,0.075,0.117,P
I,0.295,0.08,0.1625,P
I,0.3,0.08,0.131,P
I,0.3,0.095,0.1385,P
I,0.305,0.07,0.141,P
I,0.315,0.075,0.1485,P
I,0.315,0.07,0.144,P
I,0.32,0.09,0.1575,P
I,0.325,0.075,0.187,P
I,0.33,0.085,0.196,P
I,0.335,0.075,0.1825,P
I,0.335,0.075,0.186,P
I,0.34,0.075,0.1785,P
I,0.34,0.07,0.2225,P
I,0.345,0.1,0.2455,P
I,0.37,0.095,0.249,P
I,0.37,0.095,0.2865,P
I,0.375,0.09,0.215,P
I,0.385,0.08,0.251,P
I,0.41,0.09,0.339,P
I,0.41,0.09,0.3535,P
I,0.41,0.09,0.3335,P
I,0.415,0.09,0.3595,P
I,0.42,0.115,0.376,P
I,0.42,0.1,0.3435,P
I,0.425,0.1,0.382,P
I,0.425,0.1,0.377,P
I,0.43,0.1,0.3645,P
I,0.43,0.09,0.425,P
I,0.435,0.12,0.3995,P
I,0.435,0.115,0.3925,P
I,0.44,0.13,0.4495,P
I,0.44,0.09,0.35,P
F,0.445,0.11,0.4355,P
I,0.445,0.13,0.4195,P
I,0.45,0.13,0.478,P
I,0.45,0.105,0.4445,P
I,0.45,0.11,0.47,P
I,0.45,0.105,0.447,P
I,0.455,0.125,0.5325,P
I,0.455,0.12,0.497,P
I,0.46,0.1,0.4635,P
I,0.46,0.105,0.449,P
I,0.465,0.115,0.467,P
I,0.465,0.115,0.534,P
I,0.465,0.11,0.4415,P
F,0.465,0.125,0.482,P
M,0.47,0.12,0.612,P
F,0.47,0.12,0.582,P
M,0.475,0.125,0.537,P
F,0.475,0.12,0.5915,P
M,0.48,0.115,0.6765,P
M,0.48,0.145,0.64,P
M,0.48,0.1,0.439,P
M,0.48,0.12,0.6015,P
F,0.485,0.115,0.4785,P
M,0.49,0.125,0.649,P
M,0.495,0.135,0.6335,P
M,0.495,0.135,0.61,P
M,0.5,0.135,0.6595,P
I,0.5,0.12,0.56,P
M,0.5,0.135,0.6425,P
M,0.5,0.125,0.6725,P
F,0.505,0.13,0.674,P
I,0.505,0.15,0.685,P
M,0.505,0.125,0.642,P
I,0.505,0.125,0.601,P
M,0.51,0.135,0.769,P
I,0.51,0.1,0.5785,P
I,0.51,0.135,0.769,P
M,0.51,0.15,0.7035,P
M,0.51,0.145,0.796,P
F,0.515,0.14,0.834,P
M,0.515,0.155,0.7125,P
F,0.525,0.14,0.724,P
M,0.525,0.14,0.7325,N
F,0.53,0.13,0.7585,P
F,0.53,0.15,0.8495,P
M,0.53,0.125,0.6515,P
F,0.535,0.135,0.8215,P
M,0.535,0.14,0.7165,P
M,0.535,0.14,0.874,P
F,0.55,0.155,0.9905,P
F,0.55,0.14,0.8105,P
F,0.56,0.16,0.967,P
F,0.565,0.13,0.6975,P
M,0.57,0.155,1.195,N
M,0.57,0.155,1.1935,N
F,0.57,0.15,1.107,P
M,0.57,0.14,1.0635,P
M,0.57,0.17,0.9035,P
M,0.575,0.16,1.114,P
F,0.575,0.16,1.103,P
F,0.58,0.15,1.1155,P
F,0.58,0.18,1.0515,P
M,0.58,0.15,1.012,N
F,0.58,0.145,1.137,P
M,0.58,0.13,1.1335,P
M,0.59,0.155,1.136,N
M,0.59,0.16,1.206,P
F,0.59,0.145,1.063,P
F,0.595,0.155,1.121,N
F,0.595,0.15,1.114,N
M,0.595,0.165,1.213,P
F,0.595,0.14,1.0045,P
M,0.595,0.15,1.044,P
F,0.605,0.15,1.1345,P
M,0.605,0.155,1.161,P
M,0.605,0.165,1.2315,N
M,0.61,0.15,1.1625,N
M,0.61,0.155,1.168,N
F,0.615,0.16,1.2525,P
F,0.62,0.18,1.3315,N
F,0.625,0.17,1.3525,N
M,0.625,0.175,1.3325,N
F,0.625,0.175,1.1435,N
F,0.625,0.165,1.288,P
F,0.625,0.2,1.38,P
M,0.63,0.155,1.278,P
F,0.63,0.165,1.3075,N
M,0.63,0.15,1.1785,P
M,0.635,0.175,1.375,N
M,0.635,0.185,1.4065,N
M,0.64,0.155,1.4025,N
F,0.64,0.17,1.5175,N
F,0.64,0.175,1.394,N
F,0.645,0.155,1.2205,N
M,0.645,0.175,1.636,N
M,0.645,0.175,1.561,P
F,0.645,0.165,1.4325,P
M,0.645,0.175,1.3385,N
F,0.645,0.16,1.2465,N
F,0.645,0.15,1.212,N
M,0.65,0.16,1.304,P
M,0.65,0.21,1.6785,N
M,0.65,0.185,1.622,N
F,0.655,0.16,1.494,P
F,0.655,0.175,1.6525,N
F,0.66,0.185,1.528,N
M,0.66,0.19,1.5905,P
M,0.66,0.195,1.6275,N
F,0.66,0.18,1.3695,P
M,0.67,0.165,1.6085,N
F,0.675,0.225,1.587,N
F,0.675,0.195,1.8375,N
M,0.68,0.185,1.607,N
M,0.69,0.175,1.7005,P
M,0.69,0.2,1.872,N
F,0.695,0.175,1.8385,N
F,0.705,0.18,1.685,N
M,0.71,0.205,2.198,N
M,0.715,0.175,1.9525,N
F,0.715,0.185,1.56,N
F,0.735,0.22,2.555,N
M,0.765,0.22,2.302,N
I,0.185,0.045,0.029,P
I,0.195,0.045,0.0375,P
I,0.195,0.04,0.0325,P
I,0.2,0.04,0.0435,P
I,0.225,0.055,0.059,P
I,0.245,0.065,0.071,P
I,0.25,0.065,0.0685,P
I,0.265,0.055,0.084,P
I,0.275,0.065,0.106,P
I,0.28,0.085,0.1075,P
I,0.285,0.065,0.096,P
I,0.3,0.08,0.1255,P
I,0.315,0.055,0.151,P
I,0.32,0.085,0.1415,P
I,0.34,0.08,0.2015,P
I,0.37,0.1,0.221,P
I,0.375,0.08,0.2345,P
I,0.375,0.1,0.2325,P
I,0.385,0.08,0.2485,P
I,0.4,0.095,0.348,P
I,0.405,0.11,0.32,P
I,0.41,0.1,0.282,P
I,0.41,0.1,0.3245,P
I,0.42,0.105,0.316,P
I,0.42,0.11,0.3625,P
I,0.42,0.095,0.279,P
I,0.425,0.115,0.3685,P
M,0.43,0.12,0.397,P
I,0.435,0.11,0.413,P
I,0.435,0.115,0.418,P
I,0.44,0.11,0.3705,P
I,0.445,0.105,0.409,P
I,0.445,0.145,0.434,P
I,0.445,0.11,0.411,P
I,0.45,0.125,0.462,P
I,0.45,0.12,0.4925,P
I,0.45,0.105,0.3715,P
I,0.45,0.1,0.411,P
I,0.45,0.11,0.3685,P
I,0.46,0.115,0.4155,P
M,0.47,0.105,0.544,P
I,0.47,0.125,0.4845,P
I,0.475,0.11,0.4565,P
I,0.475,0.1,0.4545,P
I,0.48,0.125,0.6245,P
M,0.49,0.125,0.5225,P
I,0.5,0.14,0.5495,P
I,0.5,0.12,0.542,P
I,0.5,0.125,0.519,P
M,0.5,0.125,0.5215,P
F,0.505,0.125,0.5445,P
I,0.51,0.125,0.6795,P
F,0.51,0.125,0.545,P
I,0.51,0.125,0.5575,P
I,0.51,0.115,0.5155,P
I,0.515,0.125,0.6115,P
M,0.52,0.145,0.7765,P
I,0.52,0.135,0.5395,P
I,0.52,0.125,0.5545,P
F,0.52,0.15,1.019,P
I,0.525,0.13,0.6455,P
I,0.525,0.14,0.601,P
M,0.525,0.12,0.7555,P
I,0.525,0.12,0.608,P
I,0.53,0.125,0.617,P
I,0.535,0.125,0.599,P
I,0.54,0.14,0.6665,N
M,0.545,0.135,0.7835,P
M,0.545,0.12,0.793,P
M,0.545,0.14,0.82,P
F,0.55,0.135,0.8145,P
F,0.55,0.15,0.84,P
M,0.55,0.15,0.8315,N
M,0.56,0.145,0.8995,P
M,0.56,0.16,0.8965,P
F,0.56,0.155,0.6405,P
M,0.56,0.145,0.852,P
M,0.565,0.15,0.9595,P
M,0.565,0.15,0.99,P
F,0.565,0.175,1.0095,P
M,0.57,0.15,1.0375,P
F,0.57,0.145,0.8775,P
I,0.57,0.15,0.755,P
F,0.575,0.145,0.9945,P
F,0.575,0.16,1.068,N
M,0.575,0.14,0.8455,P
F,0.575,0.165,0.869,P
M,0.575,0.135,0.907,P
I,0.575,0.13,0.805,N
M,0.575,0.17,1.0225,P
M,0.575,0.145,0.847,P
M,0.58,0.15,1.114,P
M,0.58,0.195,1.859,P
M,0.58,0.135,0.814,P
M,0.58,0.14,0.9615,P
M,0.58,0.145,1.0025,P
F,0.58,0.155,0.93,P
M,0.585,0.145,0.9335,P
M,0.585,0.16,0.9555,P
M,0.59,0.15,0.9955,P
F,0.6,0.16,1.0265,P
M,0.6,0.17,1.1915,P
F,0.6,0.15,1.1025,P
M,0.6,0.155,1.0165,N
F,0.605,0.165,1.1775,P
M,0.605,0.14,1.1175,P
M,0.605,0.17,1.1835,N
F,0.605,0.165,1.056,P
M,0.61,0.16,1.0145,P
M,0.61,0.145,1.3305,P
M,0.61,0.165,1.052,P
M,0.615,0.17,1.0565,N
F,0.615,0.15,0.923,P
F,0.615,0.155,1.027,P
M,0.62,0.135,1.0195,P
M,0.62,0.2,0.858,P
F,0.62,0.16,1.1125,P
F,0.625,0.175,1.3745,P
M,0.625,0.185,1.2065,P
M,0.63,0.155,1.1325,P
M,0.63,0.175,1.2645,N
F,0.635,0.015,1.1565,P
M,0.64,0.165,1.369,N
M,0.645,0.195,1.39,N
F,0.645,0.17,1.1345,N
F,0.65,0.19,1.464,P
M,0.65,0.155,1.202,N
M,0.655,0.16,1.31,N
F,0.655,0.175,1.415,N
F,0.66,0.185,1.346,N
M,0.665,0.16,1.363,P
I,0.665,0.17,1.2975,P
F,0.67,0.205,1.3645,P
F,0.685,0.215,1.7025,N
M,0.685,0.165,1.519,N
F,0.69,0.155,1.454,P
M,0.69,0.21,1.583,N
F,0.69,0.17,1.5535,P
M,0.695,0.185,1.74,N
M,0.7,0.18,1.751,P
M,0.7,0.19,2.273,N
F,0.7,0.19,1.6465,P
F,0.705,0.17,1.219,P
F,0.71,0.18,1.652,N
M,0.715,0.19,2.0045,N
M,0.715,0.19,1.6755,N
F,0.72,0.195,2.103,N
F,0.72,0.2,1.9965,N
M,0.72,0.145,1.187,P
M,0.725,0.185,1.978,N
F,0.73,0.185,1.8795,N
M,0.735,0.185,2.124,N
M,0.745,0.215,1.931,N
F,0.75,0.21,2.236,N
F,0.755,0.21,2.505,N
M,0.755,0.205,2.0065,N
F,0.78,0.215,2.657,N
I,0.185,0.12,0.4645,P
I,0.245,0.06,0.0765,P
I,0.25,0.065,0.0685,P
I,0.25,0.065,0.0835,P
I,0.275,0.09,0.1125,P
I,0.305,0.065,0.1075,P
I,0.31,0.07,0.1055,P
I,0.315,0.08,0.1375,P
I,0.315,0.07,0.1145,P
I,0.325,0.075,0.139,P
I,0.33,0.095,0.2085,P
I,0.33,0.095,0.1595,P
I,0.335,0.09,0.2015,P
I,0.34,0.09,0.179,P
I,0.345,0.095,0.1945,P
I,0.345,0.085,0.2005,P
I,0.35,0.075,0.215,P
I,0.35,0.09,0.1785,P
I,0.36,0.085,0.196,P
I,0.365,0.085,0.1875,P
I,0.365,0.085,0.196,P
I,0.365,0.085,0.213,P
I,0.37,0.09,0.2445,P
I,0.37,0.085,0.217,P
I,0.375,0.095,0.213,P
I,0.375,0.085,0.2385,P
I,0.375,0.09,0.218,P
I,0.375,0.095,0.2465,P
I,0.375,0.08,0.2025,P
I,0.375,0.085,0.218,P
I,0.38,0.11,0.256,P
I,0.38,0.08,0.2105,P
I,0.385,0.09,0.2615,P
I,0.385,0.085,0.2175,P
I,0.385,0.095,0.302,P
I,0.385,0.09,0.228,P
I,0.39,0.095,0.3265,P
I,0.395,0.105,0.284,P
I,0.395,0.095,0.2725,P
I,0.395,0.1,0.2985,P
I,0.4,0.1,0.2675,P
I,0.405,0.09,0.2645,P
I,0.41,0.11,0.33,P
I,0.42,0.09,0.328,P
I,0.425,0.11,0.3335,P
I,0.425,0.1,0.3055,P
I,0.425,0.09,0.301,P
I,0.43,0.0,0.428,P
I,0.43,0.095,0.378,P
I,0.435,0.11,0.3685,P
I,0.44,0.12,0.438,P
I,0.45,0.105,0.448,P
I,0.455,0.105,0.4005,P
F,0.455,0.115,0.4305,P
I,0.455,0.1,0.372,P
I,0.46,0.105,0.466,P
I,0.46,0.105,0.3705,P
F,0.46,0.125,0.4785,P
I,0.465,0.11,0.346,N
I,0.47,0.1,0.411,P
I,0.47,0.18,0.48,P
I,0.47,0.12,0.393,P
I,0.475,0.1,0.5035,P
I,0.475,0.12,0.441,P
I,0.475,0.11,0.492,P
I,0.48,0.125,0.5435,P
I,0.48,0.115,0.4725,P
I,0.48,0.1,0.461,P
I,0.495,0.12,0.4965,P
I,0.495,0.13,0.5125,P
M,0.495,0.12,0.553,P
I,0.5,0.135,0.594,P
M,0.5,0.135,0.6765,P
I,0.5,0.145,0.5795,P
I,0.5,0.14,0.6615,P
I,0.5,0.125,0.5695,P
I,0.5,0.14,0.6215,P
I,0.505,0.13,0.6015,P
I,0.505,0.12,0.594,P
I,0.505,0.105,0.551,P
I,0.515,0.12,0.625,P
I,0.515,0.135,0.711,N
I,0.515,0.135,0.6965,P
I,0.52,0.13,0.5825,N
I,0.52,0.125,0.663,P
I,0.525,0.125,0.6965,P
M,0.525,0.155,0.842,P
I,0.53,0.13,0.694,P
I,0.53,0.155,0.81,N
I,0.53,0.11,0.5745,P
I,0.53,0.13,0.7675,P
I,0.535,0.135,0.6025,P
I,0.535,0.15,0.5765,P
F,0.535,0.13,0.7145,P
M,0.535,0.15,0.717,P
F,0.54,0.145,0.8655,N
I,0.54,0.14,0.7265,P
I,0.545,0.135,0.7715,P
F,0.545,0.15,0.8,P
I,0.545,0.15,0.7285,N
I,0.545,0.135,0.5945,P
I,0.55,0.145,0.7895,N
F,0.55,0.125,0.651,P
M,0.55,0.15,0.8745,P
I,0.55,0.14,0.7535,N
I,0.55,0.135,0.7305,P
M,0.555,0.14,0.8705,P
I,0.555,0.155,0.7395,N
I,0.555,0.14,0.7665,P
I,0.555,0.145,0.7905,P
I,0.56,0.135,0.8205,P
I,0.56,0.145,0.688,P
F,0.56,0.155,1.224,N
I,0.56,0.145,0.974,P
I,0.565,0.175,0.8735,N
F,0.565,0.145,0.8495,P
M,0.565,0.15,0.796,P
M,0.565,0.125,0.744,N
I,0.57,0.145,0.751,N
I,0.57,0.135,0.794,P
F,0.57,0.135,0.9795,P
M,0.57,0.17,0.873,N
I,0.57,0.13,0.7665,N
M,0.57,0.125,0.8965,P
F,0.575,0.135,0.857,N
F,0.575,0.165,1.078,P
M,0.575,0.155,0.892,N
M,0.58,0.155,1.4395,N
M,0.58,0.135,0.7955,N
F,0.58,0.15,0.858,P
M,0.585,0.155,0.9145,P
M,0.585,0.185,1.171,N
I,0.585,0.16,1.0505,N
M,0.585,0.165,1.1135,N
M,0.585,0.165,1.409,N
M,0.585,0.15,1.065,N
M,0.585,0.18,0.7995,P
I,0.59,0.135,0.7715,P
M,0.59,0.18,1.187,P
M,0.59,0.155,0.8855,N
F,0.595,0.15,0.98,N
F,0.595,0.155,1.026,N
M,0.6,0.17,1.1315,N
M,0.6,0.155,1.014,N
I,0.6,0.15,1.12,N
F,0.6,0.155,1.04,N
F,0.6,0.145,0.8895,N
M,0.6,0.155,0.9595,N
I,0.605,0.15,1.238,N
M,0.605,0.14,0.9755,N
I,0.605,0.13,0.9025,N
F,0.605,0.175,1.076,P
F,0.605,0.16,1.0835,N
M,0.61,0.15,0.871,N
M,0.61,0.165,1.244,N
M,0.61,0.17,1.0265,N
I,0.61,0.15,0.9605,P
M,0.61,0.17,1.137,N
M,0.61,0.16,1.0,N
F,0.615,0.155,1.004,N
M,0.615,0.165,1.128,N
M,0.615,0.17,1.054,N
F,0.615,0.165,1.023,N
M,0.615,0.17,1.129,N
M,0.615,0.175,1.118,P
F,0.615,0.155,1.115,N
M,0.62,0.175,1.2815,N
M,0.62,0.18,1.2555,N
F,0.62,0.15,1.293,N
F,0.62,0.16,1.1295,N
M,0.625,0.17,1.082,P
F,0.625,0.175,1.15,N
F,0.625,0.16,1.264,P
F,0.625,0.155,1.2035,N
F,0.63,0.17,1.3205,P
I,0.63,0.18,1.272,N
M,0.63,0.145,1.062,N
I,0.63,0.145,1.0605,N
M,0.63,0.16,1.093,N
M,0.635,0.16,1.101,N
F,0.635,0.165,1.4595,P
F,0.635,0.175,1.211,P
M,0.635,0.17,1.1935,N
M,0.635,0.155,0.986,N
M,0.64,0.23,1.521,N
M,0.64,0.18,1.3135,N
M,0.645,0.16,1.1835,N
M,0.645,0.195,1.401,N
M,0.645,0.16,1.5075,N
F,0.65,0.165,1.16,N
F,0.65,0.22,1.662,N
M,0.65,0.175,1.5365,N
M,0.65,0.19,1.542,P
F,0.65,0.17,1.567,N
F,0.655,0.19,1.3595,N
M,0.655,0.205,1.6445,N
F,0.655,0.19,1.4545,N
M,0.655,0.175,1.3585,N
F,0.66,0.21,1.548,N
F,0.66,0.17,1.337,N
F,0.665,0.18,1.491,N
F,0.67,0.225,1.5615,N
F,0.67,0.175,1.0145,N
M,0.675,0.185,1.7375,N
M,0.685,0.205,1.7925,P
F,0.695,0.19,1.7635,N
F,0.7,0.13,1.556,N
M,0.705,0.515,2.21,N
M,0.705,0.215,2.141,N
F,0.705,0.18,1.5345,N
F,0.71,0.17,1.614,N
F,0.72,0.17,1.9335,N
M,0.72,0.215,2.173,N
F,0.725,0.2,1.737,N
F,0.73,0.19,1.7375,N
F,0.735,0.205,2.1275,N
F,0.745,0.215,2.25,P
F,0.75,0.235,2.5085,N
F,0.815,0.25,2.255,N
I,0.14,0.035,0.014,P
I,0.23,0.06,0.0515,P
I,0.365,0.135,0.2215,P
I,0.365,0.08,0.1985,P
I,0.37,0.095,0.232,P
I,0.375,0.085,0.3155,P
I,0.385,0.09,0.247,P
I,0.395,0.09,0.3025,P
I,0.4,0.11,0.329,P
I,0.4,0.09,0.2815,P
I,0.405,0.095,0.3425,P
I,0.405,0.09,0.2825,P
I,0.405,0.105,0.304,P
I,0.41,0.095,0.2905,P
M,0.415,0.115,0.3895,P
I,0.425,0.105,0.389,P
I,0.43,0.105,0.4405,P
I,0.44,0.105,0.369,P
M,0.44,0.12,0.4565,P
I,0.44,0.11,0.4465,P
M,0.45,0.125,0.4475,P
I,0.455,0.135,0.501,P
I,0.46,0.11,0.436,P
I,0.47,0.14,0.4615,P
I,0.47,0.125,0.4315,P
I,0.47,0.12,0.3685,P
M,0.475,0.125,0.649,P
I,0.475,0.115,0.459,P
F,0.475,0.115,0.566,P
I,0.48,0.125,0.542,P
I,0.485,0.12,0.4725,P
M,0.485,0.085,0.6435,P
M,0.485,0.13,0.526,P
F,0.495,0.12,0.573,P
M,0.505,0.105,0.5525,P
F,0.505,0.135,0.6855,P
I,0.515,0.125,0.556,P
M,0.515,0.145,0.9365,P
I,0.515,0.125,0.5625,P
M,0.52,0.125,0.559,P
M,0.525,0.14,0.7205,P
I,0.53,0.13,0.7045,P
M,0.53,0.125,0.7575,P
F,0.545,0.14,0.7405,P
F,0.55,0.14,0.84,P
M,0.55,0.16,0.793,P
F,0.56,0.15,0.8745,P
F,0.56,0.15,0.8715,P
M,0.57,0.15,0.9875,P
M,0.575,0.15,1.08,P
M,0.575,0.165,0.9155,P
F,0.58,0.175,1.165,P
F,0.58,0.14,0.953,P
M,0.585,0.15,0.906,P
M,0.59,0.15,0.8725,P
F,0.59,0.15,1.151,P
F,0.59,0.145,0.9905,P
F,0.595,0.16,1.04,P
M,0.6,0.155,0.945,P
M,0.6,0.2,1.259,P
F,0.605,0.165,0.9515,N
F,0.605,0.16,1.201,P
F,0.605,0.17,1.289,P
F,0.61,0.17,1.1005,N
I,0.615,0.13,0.8425,P
M,0.62,0.155,1.049,N
F,0.62,0.155,1.012,P
M,0.62,0.165,1.0725,P
M,0.625,0.175,1.4105,N
M,0.625,0.18,1.136,N
M,0.63,0.145,1.1005,P
F,0.63,0.175,1.1105,N
M,0.63,0.15,1.1315,P
M,0.63,0.15,1.271,N
F,0.63,0.225,1.336,N
F,0.635,0.145,1.1345,N
M,0.635,0.185,1.308,P
F,0.64,0.205,1.5335,P
F,0.645,0.175,1.546,N
M,0.645,0.155,1.539,N
F,0.645,0.165,1.318,N
F,0.65,0.175,1.5245,N
M,0.65,0.175,1.466,N
F,0.65,0.16,1.3825,P
M,0.65,0.14,1.175,P
F,0.655,0.215,1.5555,N
M,0.655,0.215,1.7835,N
M,0.66,0.165,1.374,N
F,0.665,0.18,1.389,N
M,0.67,0.2,1.7025,N
M,0.67,0.175,1.5265,N
M,0.67,0.19,1.519,N
F,0.68,0.185,1.741,N
M,0.68,0.17,1.6115,N
M,0.69,0.2,1.7825,N
F,0.7,0.17,1.684,N
M,0.7,0.2,1.858,N
M,0.705,0.165,1.675,N
M,0.72,0.2,2.1055,N
M,0.725,0.24,2.21,N
M,0.74,0.18,1.8725,N
M,0.75,0.18,1.893,N
I,0.21,0.045,0.0475,P
I,0.285,0.055,0.101,P
I,0.295,0.07,0.121,P
I,0.3,0.085,0.117,P
I,0.305,0.09,0.1465,P
I,0.335,0.08,0.168,P
I,0.35,0.075,0.18,P
I,0.355,0.075,0.1775,P
I,0.355,0.09,0.1985,P
I,0.36,0.095,0.2,P
I,0.36,0.075,0.2205,P
I,0.36,0.075,0.1845,P
I,0.365,0.085,0.2225,P
I,0.37,0.095,0.2175,P
I,0.375,0.08,0.2165,P
I,0.38,0.095,0.243,P
I,0.38,0.1,0.237,P
I,0.385,0.09,0.2365,P
I,0.385,0.095,0.257,P
I,0.385,0.09,0.308,P
I,0.39,0.09,0.252,P
I,0.39,0.1,0.281,P
I,0.39,0.1,0.2225,P
I,0.41,0.09,0.304,P
I,0.41,0.09,0.28,P
I,0.415,0.1,0.313,P
I,0.425,0.11,0.317,P
I,0.425,0.08,0.303,P
I,0.435,0.1,0.3295,P
I,0.435,0.11,0.367,P
I,0.45,0.095,0.3245,P
I,0.45,0.11,0.4195,P
I,0.455,0.115,0.457,N
I,0.46,0.11,0.4,P
I,0.46,0.11,0.4255,P
I,0.465,0.12,0.4365,P
I,0.465,0.11,0.393,P
I,0.47,0.125,0.499,P
I,0.475,0.145,0.6325,P
M,0.475,0.1,0.4285,P
I,0.475,0.125,0.4905,P
I,0.48,0.125,0.474,P
I,0.48,0.12,0.536,P
M,0.48,0.16,0.464,P
I,0.485,0.13,0.6025,P
I,0.49,0.115,0.4615,P
I,0.49,0.135,0.624,P
I,0.495,0.125,0.4715,P
I,0.495,0.105,0.602,P
I,0.5,0.12,0.616,P
I,0.5,0.12,0.5955,P
I,0.5,0.14,0.559,P
I,0.51,0.13,0.6025,P
F,0.515,0.11,0.6065,P
I,0.515,0.125,0.4725,P
I,0.515,0.105,0.4745,N
I,0.515,0.125,0.6635,P
I,0.515,0.125,0.5705,P
I,0.52,0.145,0.646,P
I,0.52,0.13,0.5545,P
M,0.525,0.145,0.845,P
I,0.525,0.12,0.664,P
I,0.525,0.135,0.615,P
I,0.525,0.14,0.654,P
M,0.525,0.155,0.707,P
I,0.53,0.12,0.5965,P
I,0.53,0.135,0.6255,N
I,0.53,0.145,0.555,P
I,0.53,0.13,0.8365,N
I,0.535,0.13,0.657,P
I,0.54,0.17,0.836,P
I,0.54,0.14,0.742,P
I,0.54,0.14,0.8195,P
M,0.54,0.14,0.972,N
I,0.54,0.14,0.6275,P
I,0.54,0.13,0.7205,N
I,0.54,0.135,0.686,P
I,0.545,0.13,0.686,P
I,0.545,0.12,0.543,P
I,0.545,0.125,0.717,P
M,0.55,0.14,0.7625,N
I,0.55,0.15,0.639,P
I,0.55,0.135,0.816,N
I,0.55,0.145,0.7815,P
I,0.55,0.15,0.7665,P
I,0.555,0.13,0.5585,P
I,0.555,0.14,0.765,P
I,0.555,0.145,0.9005,N
I,0.56,0.15,0.8225,N
I,0.56,0.13,0.7235,P
M,0.56,0.135,0.849,N
I,0.565,0.155,0.743,P
F,0.565,0.15,0.863,P
M,0.565,0.125,0.802,P
M,0.565,0.15,0.831,N
F,0.57,0.135,0.7805,P
M,0.57,0.14,0.795,P
I,0.57,0.17,0.848,P
I,0.57,0.145,0.833,N
I,0.57,0.155,0.867,P
I,0.57,0.145,0.7405,N
M,0.575,0.165,0.867,P
I,0.575,0.135,0.7965,N
F,0.575,0.155,1.116,N
I,0.575,0.125,0.78,P
M,0.575,0.185,0.985,N
F,0.575,0.195,0.9965,P
I,0.575,0.17,0.8015,P
I,0.575,0.135,0.807,N
F,0.575,0.15,1.0305,P
M,0.575,0.16,0.839,P
M,0.575,0.16,0.9615,N
F,0.58,0.15,0.834,P
M,0.58,0.155,1.0335,N
M,0.58,0.13,0.798,N
I,0.58,0.125,0.7095,P
F,0.585,0.14,0.913,N
M,0.59,0.165,1.207,N
I,0.59,0.145,1.022,N
I,0.59,0.145,0.9015,N
F,0.595,0.15,0.9,P
M,0.595,0.14,0.838,N
M,0.595,0.145,0.959,N
I,0.595,0.15,0.8335,P
F,0.6,0.155,0.9735,P
F,0.6,0.15,1.13,P
M,0.6,0.165,0.9165,P
I,0.6,0.17,0.9175,P
F,0.6,0.18,1.0645,N
M,0.6,0.165,1.059,P
M,0.6,0.16,1.194,N
F,0.605,0.145,0.9775,P
M,0.605,0.145,0.884,P
I,0.605,0.145,0.8025,P
F,0.605,0.14,0.991,P
F,0.605,0.155,0.974,P
F,0.605,0.18,1.434,N
M,0.61,0.155,0.983,N
F,0.61,0.16,1.0725,N
F,0.61,0.15,1.2405,N
M,0.61,0.16,1.022,P
F,0.61,0.16,1.1155,N
I,0.61,0.125,0.9225,P
M,0.61,0.17,1.1185,P
F,0.61,0.18,1.2795,P
M,0.615,0.16,1.0175,N
M,0.615,0.175,1.224,P
I,0.62,0.18,1.154,N
F,0.62,0.155,1.3255,N
M,0.62,0.175,1.221,N
F,0.62,0.165,1.139,N
I,0.62,0.16,1.066,N
F,0.62,0.18,1.2215,N
I,0.62,0.14,0.8565,P
I,0.62,0.135,0.924,N
M,0.62,0.15,1.266,N
F,0.62,0.175,1.0405,P
M,0.625,0.165,1.1165,N
M,0.625,0.16,1.0845,N
M,0.625,0.17,1.0985,P
I,0.625,0.155,1.1955,N
